RUN	STATISTIC	VALUE
092	lanczos_max_converged	309
092	time_input	2.94276
092	time_solve	950.209
092	compression_ratio	0.0999069
093	L_final	344.878
093	lanczos_mean	11.0718
093	lanczos_min	6
093	lanczos_max	311
093	lanczos_mean_converged	0
093	lanczos_min_converged	0
093	lanczos_max_converged	0
093	time_input	2.99718
093	time_solve	1031.13
093	compression_ratio	0.0999069
094	iterations	43
094	L_final	356.016
094	lanczos_mean	8.11648
094	lanczos_min	7
094	lanczos_max	10
094	lanczos_mean_converged	303.75
094	lanczos_min_converged	299
094	lanczos_max_converged	308
094	time_input	2.97688
094	time_solve	847.025
094	compression_ratio	0.0999069
095	L_final	361.381
095	lanczos_mean	11.1114
095	lanczos_min	6
095	lanczos_max	309
095	lanczos_mean_converged	0
095	lanczos_min_converged	0
095	lanczos_max_converged	0
095	time_input	2.80234
095	time_solve	1040.41
095	compression_ratio	0.0999069
096	L_final	346.475
096	lanczos_mean	11.1597
096	lanczos_min	6
096	lanczos_max	311
096	lanczos_mean_converged	0
096	lanczos_min_converged	0
096	lanczos_max_converged	0
096	time_input	3.23511
096	time_solve	1048.63
096	compression_ratio	0.0999069
097	L_final	356.811
097	lanczos_mean	11.104
097	lanczos_min	6
097	lanczos_max	311
097	lanczos_mean_converged	0
097	lanczos_min_converged	0
097	lanczos_max_converged	0
097	time_input	3.39085
097	time_solve	1047.88
097	compression_ratio	0.0999069
098	L_final	329.052
098	lanczos_mean	11.2314
098	lanczos_min	6
098	lanczos_max	312
098	lanczos_mean_converged	0
098	lanczos_min_converged	0
098	lanczos_max_converged	0
098	time_input	3.13235
098	time_solve	1107.78
098	compression_ratio	0.0999069
099	L_final	351.179
099	lanczos_mean	10.9072
099	lanczos_min	6
099	lanczos_max	309
099	lanczos_mean_converged	0
099	lanczos_min_converged	0
099	lanczos_max_converged	0
099	time_input	3.21309
099	time_solve	1133.84
099	compression_ratio	0.0999069
100	iterations	89
100	L_final	371.021
100	lanczos_mean	8.03333
100	lanczos_min	6
100	lanczos_max	10
100	lanczos_mean_converged	303
100	lanczos_min_converged	296
100	lanczos_max_converged	309
100	time_input	3.51781
100	time_solve	1022.74
100	compression_ratio	0.0999069
